epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.18525958061218262,0.0010000000474974513,1.9527926445007324,0.17743702232837677,1.9852629899978638
1,0.2709749639034271,0.0010000000474974513,1.73319411277771,0.32990142703056335,1.7328236103057861
2,0.3756566643714905,0.0010000000474974513,1.5764771699905396,0.27163198590278625,1.9173023700714111
3,0.43935415148735046,0.0010000000474974513,1.4453108310699463,0.2495071142911911,2.6220955848693848
4,0.47863873839378357,0.0010000000474974513,1.367335319519043,0.4626505970954895,1.4017575979232788
5,0.4924675524234772,0.0010000000474974513,1.319113850593567,0.4352683424949646,1.576643705368042
6,0.5131335258483887,0.0010000000474974513,1.2826756238937378,0.365607887506485,1.8713626861572266
7,0.5245287418365479,0.0010000000474974513,1.247702956199646,0.5117195844650269,1.2889649868011475
8,0.5319839119911194,0.0010000000474974513,1.2165051698684692,0.48477545380592346,1.4153342247009277
9,0.5426838397979736,0.0010000000474974513,1.1937798261642456,0.5279299020767212,1.2513221502304077
10,0.5533452033996582,0.0010000000474974513,1.1795969009399414,0.5086528062820435,1.3481132984161377
11,0.5638905763626099,0.0010000000474974513,1.1466140747070312,0.5627601146697998,1.1689996719360352
12,0.5684487223625183,0.0010000000474974513,1.1363850831985474,0.5480832457542419,1.2169411182403564
13,0.5720410943031311,0.0010000000474974513,1.1189000606536865,0.5625410676002502,1.1711726188659668
14,0.5767150521278381,0.0010000000474974513,1.1087677478790283,0.5478641986846924,1.2651327848434448
15,0.5830500721931458,0.0010000000474974513,1.0922049283981323,0.57174152135849,1.1447924375534058
16,0.5877240300178528,0.0010000000474974513,1.0805957317352295,0.5704271793365479,1.1613737344741821
17,0.597187876701355,0.0010000000474974513,1.0617802143096924,0.5474260449409485,1.3331668376922607
18,0.5927456617355347,0.0010000000474974513,1.0515629053115845,0.5739321112632751,1.1375232934951782
19,0.6028275489807129,0.0010000000474974513,1.0459433794021606,0.572617769241333,1.160863995552063
20,0.6076560616493225,0.0010000000474974513,1.037258267402649,0.5855421423912048,1.1112347841262817
21,0.6107076406478882,0.0010000000474974513,1.0117169618606567,0.5927711129188538,1.093907356262207
22,0.612561821937561,0.0010000000474974513,1.019325613975525,0.5691128373146057,1.1500929594039917
23,0.6154589056968689,0.0010000000474974513,0.9995082020759583,0.5829134583473206,1.129997968673706
24,0.6180856227874756,0.0010000000474974513,0.9963602423667908,0.5929901599884033,1.1159355640411377
25,0.6205964088439941,0.0010000000474974513,0.9919073581695557,0.5861993432044983,1.175696849822998
26,0.6256952881813049,0.0010000000474974513,0.9780203104019165,0.6083242297172546,1.05156672000885
27,0.6289014220237732,0.0010000000474974513,0.9745981097221375,0.606352686882019,1.0745160579681396
28,0.629055917263031,0.0010000000474974513,0.9618925452232361,0.6107338666915894,1.0483981370925903
29,0.6298671364784241,0.0010000000474974513,0.9684863686561584,0.6030668020248413,1.0711992979049683
30,0.6295580863952637,0.0010000000474974513,0.9611121416091919,0.5872946381568909,1.131449818611145
31,0.6357385516166687,0.0010000000474974513,0.9480894804000854,0.6109529137611389,1.0487619638442993
