epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.35727256536483765,0.0010000000474974513,1.7009801864624023,0.48489493131637573,1.3742223978042603
1,0.43677806854248047,0.0010000000474974513,1.46001136302948,0.5151050686836243,1.2953447103500366
2,0.46420708298683167,0.0010000000474974513,1.395024299621582,0.5267075300216675,1.2764286994934082
3,0.47143134474754333,0.0010000000474974513,1.3672796487808228,0.5269264578819275,1.2897902727127075
4,0.4851072132587433,0.0010000000474974513,1.3448408842086792,0.542469322681427,1.2196848392486572
5,0.4895499348640442,0.0010000000474974513,1.3282968997955322,0.5302101373672485,1.2671184539794922
6,0.48943403363227844,0.0010000000474974513,1.318767786026001,0.5400612950325012,1.2384084463119507
7,0.5011782646179199,0.0010000000474974513,1.3034359216690063,0.5525394082069397,1.2137480974197388
8,0.5024917721748352,0.0010000000474974513,1.2988886833190918,0.5470665693283081,1.2288967370986938
9,0.5009465217590332,0.0010000000474974513,1.2908117771148682,0.5365586876869202,1.242470145225525
10,0.5079003572463989,0.0010000000474974513,1.2822670936584473,0.5359019041061401,1.230973243713379
11,0.5086343288421631,0.0010000000474974513,1.275445580482483,0.557355523109436,1.1909737586975098
12,0.5118021965026855,0.0010000000474974513,1.2657262086868286,0.5378721356391907,1.241334080696106
13,0.5138883590698242,0.0010000000474974513,1.2591748237609863,0.553196132183075,1.1986494064331055
14,0.5184083580970764,0.0010000000474974513,1.2544007301330566,0.5558230876922607,1.2107211351394653
15,0.5195286870002747,0.0010000000474974513,1.252643346786499,0.5464097857475281,1.2039562463760376
16,0.5277574062347412,0.0005000000237487257,1.2224302291870117,0.5615149140357971,1.1652119159698486
17,0.5312343239784241,0.0005000000237487257,1.2106541395187378,0.5591068267822266,1.1826993227005005
18,0.5340544581413269,0.0005000000237487257,1.2101774215698242,0.5685201287269592,1.1522835493087769
19,0.539115309715271,0.0005000000237487257,1.2053284645080566,0.5608581304550171,1.167336106300354
20,0.5353679656982422,0.0005000000237487257,1.2048935890197754,0.5621716380119324,1.1742753982543945
21,0.5382654070854187,0.0005000000237487257,1.1944142580032349,0.5626094341278076,1.1657958030700684
22,0.5435966849327087,0.0005000000237487257,1.1880252361297607,0.5724605917930603,1.1475545167922974
23,0.5429399013519287,0.0005000000237487257,1.1790817975997925,0.5566987991333008,1.1772027015686035
24,0.540042519569397,0.0005000000237487257,1.193267583847046,0.5652364492416382,1.1769574880599976
25,0.5510913729667664,9.999999747378752e-06,1.158294439315796,0.581873893737793,1.11759352684021
26,0.5663511753082275,9.999999747378752e-06,1.1221065521240234,0.5954465866088867,1.088889718055725
27,0.5755456686019897,9.999999747378752e-06,1.0946286916732788,0.5987303256988525,1.0796287059783936
28,0.5809541940689087,9.999999747378752e-06,1.0800837278366089,0.5993870496749878,1.0718278884887695
29,0.5883716344833374,9.999999747378752e-06,1.0677647590637207,0.6063923239707947,1.0564197301864624
30,0.5975275039672852,9.999999747378752e-06,1.0460153818130493,0.6127408146858215,1.046320915222168
31,0.5995364189147949,9.999999747378752e-06,1.0369937419891357,0.6177758574485779,1.0382953882217407
32,0.6060266494750977,9.999999747378752e-06,1.0237677097320557,0.6193082332611084,1.0242170095443726
33,0.6038246154785156,9.999999747378752e-06,1.0170419216156006,0.6230297684669495,1.0186494588851929
34,0.6129804849624634,9.999999747378752e-06,0.9977416396141052,0.6265323758125305,1.0139204263687134
35,0.6197411417961121,9.999999747378752e-06,0.9895948767662048,0.6256567239761353,1.0080546140670776
36,0.6203593015670776,9.999999747378752e-06,0.9799760580062866,0.6309106945991516,0.9944866299629211
37,0.6266177296638489,9.999999747378752e-06,0.9727821946144104,0.6302539110183716,0.9925050735473633
38,0.6328375339508057,9.999999747378752e-06,0.9569223523139954,0.6348511576652527,0.9875070452690125
39,0.6310217976570129,9.999999747378752e-06,0.949411153793335,0.6411996483802795,0.9726596474647522
40,0.6365076303482056,9.999999747378752e-06,0.9453000426292419,0.639448344707489,0.9820302128791809
41,0.6369326114654541,9.999999747378752e-06,0.9404149651527405,0.6376970410346985,0.9758675694465637
42,0.6400231719017029,9.999999747378752e-06,0.9285231828689575,0.6449211835861206,0.9671059250831604
43,0.6406799554824829,9.999999747378752e-06,0.9220583438873291,0.6462346911430359,0.9648228883743286
44,0.6436160206794739,9.999999747378752e-06,0.9169211983680725,0.6451401114463806,0.9611895680427551
45,0.6463202834129333,9.999999747378752e-06,0.906162679195404,0.6479859948158264,0.9531235098838806
46,0.6536217927932739,9.999999747378752e-06,0.8959654569625854,0.6473292708396912,0.9614612460136414
47,0.6500290036201477,9.999999747378752e-06,0.8967202305793762,0.6484237909317017,0.9480823874473572
48,0.6579099893569946,9.999999747378752e-06,0.8867053985595703,0.6484237909317017,0.9528735876083374
49,0.6631253361701965,9.999999747378752e-06,0.8786031007766724,0.650175154209137,0.9456394910812378
50,0.6601506471633911,9.999999747378752e-06,0.8722038865089417,0.6508318781852722,0.9423651695251465
51,0.6630867123603821,9.999999747378752e-06,0.8718997240066528,0.653896689414978,0.9381226301193237
52,0.663627564907074,9.999999747378752e-06,0.8586726188659668,0.6545534133911133,0.9448057413101196
53,0.6674908399581909,9.999999747378752e-06,0.8559354543685913,0.6523642539978027,0.9461318254470825
54,0.6679543852806091,9.999999747378752e-06,0.8450210094451904,0.6549912691116333,0.934398353099823
